Presidente,Mes,Encuestadora,Abrueba,DesAbrueba
AMLO,ago-20,Enkoll,58,36
AMLO,ago-20,El Universal/tel,53,36
AMLO,jul-20,El Financiero/tel,58,37
AMLO,jun-20,BGC/tel,58,40
AMLO,jun-20,El País/tel,68,32
AMLO,jun-20,El Financiero/tel,56,42
AMLO,jun-20,Varela y Asoc/tel,59,38
AMLO,may-20,El Financiero/tel,60,37
AMLO,may-20,Buendia y Laredo/tel,58,27
AMLO,abr-20,El Financiero/tel,68,29
AMLO,mar-20,GEA-ISA,47,46
AMLO,mar-20,Parametraa/tel,54,42
AMLO,mar-20,El Financiero/tel,60,37
AMLO,feb-20,Reforma,59,35
AMLO,feb-20,Varela y Asoc/tel,59,38
AMLO,feb-20,Demotecnia/tel,62,29
AMLO,feb-20,Buendia y Laredo,62,28
AMLO,feb-20,El Financiero/tel,63,34
AMLO,feb-20,Enkoll,67,25
AMLO,feb-20,Parametria,63,33
AMLO,feb-20,El Universal,57,30
AMLO,ene-20,El Financiero/tel,71,28
AMLO,ene-20,Parametria,68,28
AMLO,dic-19,El Financiero/tel,72,27
AMLO,dic-19,BGC/tel,61,38
AMLO,dic-19,Parametria,77,23
AMLO,nov-19,Buendia y Laredo,67,23
AMLO,nov-19,Enkoll,72,22
AMLO,nov-19,GEA-ISA,57,38
AMLO,nov-19,Reforma,68,31
AMLO,nov-19,El Financiero/tel,68,31
AMLO,nov-19,Demotecnia/tel,68,25
AMLO,nov-19,El Universal,59,23
AMLO,nov-19,Parametria,75,21
AMLO,nov-19,Varela y Asoc/tel,63,33
AMLO,oct-19,El Financiero/tel,67,31
AMLO,oct-19,Enkoll,78,18
AMLO,sep-19,El Financiero/tel,68,30
AMLO,sep-19,GEA-ISA,61,30
AMLO,sep-19,Demotecnia/tel,71,20
AMLO,sep-19,Parametria,75,21
AMLO,ago-19,Enkoll,73,19
AMLO,ago-19,Varela y Asoc/tel,67,29
AMLO,ago-19,El Financiero/tel,67,32
AMLO,ago-19,El Universal,69,20
AMLO,ago-19,Buendia y Laredo,71,18
AMLO,ago-19,Indemerc/tel,77,23
AMLO,jul-19,BGC/tel,70,27
AMLO,jul-19,El Financiero/tel,66,32
AMLO,jul-19,Reforma,70,29
AMLO,jul-19,Parametria,78,18
AMLO,jun-19,GEA-ISA,66,27
AMLO,jun-19,El Universal,72,18
AMLO,jun-19,El Financiero/tel,66,32
AMLO,jun-19,Parametria,80,20
AMLO,may-19,Varela y Asoc/tel,67,25
AMLO,may-19,Parametria,75,20
AMLO,may-19,Demotecnia/tel,70,21
AMLO,may-19,Buendia y Laredo,72,15
AMLO,may-19,Enkoll,70,23
AMLO,may-19,Consulta,60,35
AMLO,may-19,Arcop,70,17
AMLO,may-19,BGC/tel,70,25
AMLO,may-19,El Financiero/tel,67,32
AMLO,abr-19,El Financiero/tel,70,29
AMLO,abr-19,Parametria,83,15
AMLO,mar-19,GEA-ISA,64,25
AMLO,mar-19,El Universal,79,11
AMLO,mar-19,Reforma,78,18
AMLO,mar-19,Demotecnia/tel,80,14
AMLO,mar-19,El Financiero/tel,78,19
AMLO,mar-19,Parametria,82,16
AMLO,feb-19,Parametria,86,8
AMLO,feb-19,Buendia y Laredo,85,9
AMLO,feb-19,Enkoll,85,12
AMLO,feb-19,Consulta,67,28
AMLO,feb-19,BGC,82,16
AMLO,feb-19,El Financiero/tel,83,14
AMLO,ene-19,Parametria,85,8
AMLO,ene-19,BGC/tel,76,21
AMLO,ene-19,El Financiero/tel,82,16
AMLO,dic-18,Parametria,83,8
AMLO,dic-18,GEA-ISA,59,21
AMLO,dic-18,El Financiero/tel,77,19
AMLO,nov-18,Parametria,69,21
AMLO,nov-18,Consulta,62,35
AMLO,nov-18,Enkoll,71,26
AMLO,nov-18,Reforma,63,21
AMLO,nov-18,El Universal,55,18
AMLO,nov-18,Buendia y Laredo,78,19
AMLO,oct-18,Enkoll,75,25
AMLO,sep-18,GEA-ISA,56,29
AMLO,ago-18,El Universal,64,12
AMLO,ago-18,Parametria,71,12
EPN,dic-18,GEA-ISA,16,79
EPN,nov-18,Buendia y Laredo,27,71
EPN,nov-18,Reforma,28,68
EPN,nov-18,Parametria,23,75
EPN,nov-18,Parametria,22,74
EPN,nov-18,Consulta,24,74
EPN,nov-18,El Financiero,26,70
EPN,nov-18,El Universal,20,69
EPN,oct-18,Parametria,28,68
EPN,sep-18,GEA-ISA,20,74
EPN,ago-18,Buendia y Laredo,26,71
EPN,ago-18,Parametria,28,69
EPN,ago-18,Consulta,18,77
EPN,ago-18,El Universal,21,67
EPN,jul-18,Reforma,22,76
EPN,jun-18,GEA-ISA,19,76
EPN,jun-18,Parametria,26,70
EPN,may-18,Buendia y Laredo,26,71
EPN,may-18,GEA-ISA,16,78
EPN,may-18,Reforma,20,77
EPN,may-18,Parametria,26,70
EPN,may-18,Consulta,20,71
EPN,abr-18,GEA-ISA,20,75
EPN,abr-18,Reforma,21,76
EPN,abr-18,Parametria,29,65
EPN,mar-18,GEA-ISA,22,76
EPN,mar-18,Parametria,29,65
EPN,feb-18,Buendia y Laredo,26,72
EPN,feb-18,Reforma,19,79
EPN,feb-18,Parametria,26,70
EPN,feb-18,Consulta,21,69
EPN,ene-18,Buendia y Laredo,28,69
EPN,ene-18,Parametria,29,68
EPN,dic-17,Parametria,35,64
EPN,nov-17,Buendia y Laredo,31,64
EPN,nov-17,GEA-ISA,23,73
EPN,nov-17,Reforma,25,73
EPN,nov-17,Consulta,26,71
EPN,oct-17,Parametria,30,70
EPN,sep-17,GEA-ISA,16,78
EPN,sep-17,Parametria,30,69
EPN,ago-17,Buendia y Laredo,28,68
EPN,ago-17,Parametria,21,75
EPN,ago-17,Parametria,29,69
EPN,ago-17,Consulta,22,73
EPN,ago-17,BGC Telefonica,13,64
EPN,jul-17,Reforma,20,78
EPN,jun-17,GEA-ISA,19,74
EPN,jun-17,Parametria,30,67
EPN,may-17,Buendia y Laredo,25,69
EPN,may-17,Parametria,29,66
EPN,may-17,Consulta,19,76
EPN,abr-17,Parametria,22,73
EPN,mar-17,Buendia y Laredo,21,73
EPN,mar-17,GEA-ISA,19,77
EPN,mar-17,Parametria,21,79
EPN,feb-17,Buendia y Laredo,19,74
EPN,feb-17,Consulta,17,77
EPN,ene-17,Reforma,12,86
EPN,ene-17,Parametria,15,84
EPN,ene-17,BGC Telefonica,6,79
EPN,dic-16,Parametria,32,67
EPN,dic-16,BGC Telefonica,16,62
EPN,nov-16,Buendia y Laredo,25,66
EPN,nov-16,GEA-ISA,32,65
EPN,nov-16,Reforma,24,73
EPN,nov-16,Consulta,24,69
EPN,oct-16,Parametria,35,62
EPN,oct-16,BGC Telefonica,13,66
EPN,sep-16,GEA-ISA,26,69
EPN,sep-16,Parametria,29,70
EPN,ago-16,Buendia y Laredo,32,61
EPN,ago-16,Reforma,23,74
EPN,ago-16,Parametria,22,73
EPN,ago-16,Consulta,29,65
EPN,ago-16,BGC Telefonica,10,66
EPN,jul-16,Parametria,26,72
EPN,jun-16,Buendia y Laredo,29,63
EPN,jun-16,GEA-ISA,35,60
EPN,jun-16,Parametria,30,69
EPN,may-16,Parametria,34,65
EPN,may-16,Consulta,32,62
EPN,abr-16,Reforma,30,66
EPN,abr-16,Parametria,38,58
EPN,abr-16,BGC Telefonica,19,60
EPN,mar-16,Buendia y Laredo,32,56
EPN,mar-16,GEA-ISA,44,53
EPN,mar-16,Parametria,36,62
EPN,feb-16,Parametria,33,64
EPN,feb-16,Consulta,33,61
EPN,ene-16,BGC Telefonica,16,58
EPN,dic-15,Reforma,39,58
EPN,dic-15,BGC Telefonica,20,55
EPN,nov-15,Buendia y Laredo,42,51
EPN,nov-15,GEA-ISA,46,50
EPN,nov-15,Parametria,40,59
EPN,nov-15,Consulta,33,65
EPN,oct-15,Parametria,39,60
EPN,oct-15,BGC Telefonica,16,63
EPN,sep-15,BGC Telefonica,18,57
EPN,ago-15,Buendia y Laredo,35,57
EPN,ago-15,GEA-ISA,36,54
EPN,ago-15,Parametria,41,57
EPN,ago-15,Consulta,36,61
EPN,ago-15,BGC Telefonica,18,61
EPN,jul-15,Reforma,34,64
EPN,jun-15,Parametria,46,52
EPN,jun-15,BGC Telefonica,20,57
EPN,may-15,Buendia y Laredo,40,53
EPN,may-15,GEA-ISA,46,45
EPN,may-15,Parametria,48,51
EPN,may-15,Consulta,39,57
EPN,abr-15,Parametria,51,48
EPN,abr-15,BGC Telefonica,24,56
EPN,mar-15,GEA-ISA,44,47
EPN,mar-15,Reforma,39,57
EPN,mar-15,Parametria,39,58
EPN,feb-15,Buendia y Laredo,37,53
EPN,feb-15,Parametria,41,56
EPN,feb-15,Consulta,40,57
EPN,feb-15,BGC Telefonica,23,56
EPN,ene-15,Parametria,42,53
EPN,ene-15,BGC Telefonica,24,54
EPN,dic-14,Parametria,41,53
EPN,dic-14,BGC Telefonica,23,57
EPN,nov-14,Buendia y Laredo,41,50
EPN,nov-14,GEA-ISA,41,52
EPN,nov-14,Reforma,39,58
EPN,nov-14,Parametria,44,52
EPN,nov-14,Consulta,41,57
EPN,oct-14,Parametria,51,49
EPN,oct-14,Consulta,45,54
EPN,sep-14,GEA-ISA,45,49
EPN,sep-14,Consulta,46,53
EPN,ago-14,Buendia y Laredo,46,45
EPN,ago-14,Parametria,46,49
EPN,ago-14,Consulta,47,51
EPN,ago-14,BGC Telefonica,32,45
EPN,jul-14,Reforma,50,46
EPN,jul-14,Consulta,47,51
EPN,jun-14,GEA-ISA,39,55
EPN,jun-14,Parametria,52,45
EPN,jun-14,Consulta,49,49
EPN,may-14,Buendia y Laredo,48,40
EPN,may-14,Consulta,49,50
EPN,abr-14,Parametria,51,47
EPN,abr-14,Consulta,48,50
EPN,mar-14,GEA-ISA,37,52
EPN,mar-14,Reforma,48,48
EPN,mar-14,Consulta,47,52
EPN,feb-14,Buendia y Laredo,44,46
EPN,feb-14,Parametria,44,53
EPN,feb-14,Consulta,48,51
EPN,ene-14,Consulta,48,50
EPN,ene-14,BGC Telefonica,28,42
EPN,dic-13,GEA-ISA,43,50
EPN,dic-13,Parametria,53,45
EPN,nov-13,Buendia y Laredo,50,37
EPN,nov-13,Reforma,44,48
EPN,nov-13,Consulta,50,49
EPN,nov-13,BGC Telefonica,30,46
EPN,oct-13,Parametria,57,39
EPN,oct-13,Consulta,55,43
EPN,sep-13,GEA-ISA,50,43
EPN,sep-13,Consulta,56,41
EPN,ago-13,Buendia y Laredo,55,34
EPN,ago-13,Parametria,60,33
EPN,ago-13,Consulta,56,41
EPN,jul-13,Reforma,52,38
EPN,jul-13,Consulta,56,41
EPN,jul-13,BGC Telefonica,41,29
EPN,jun-13,GEA-ISA,45,46
EPN,jun-13,Parametria,62,32
EPN,jun-13,Consulta,56,40
EPN,may-13,Buendia y Laredo,55,33
EPN,may-13,Consulta,57,38
EPN,mar-13,GEA-ISA,55,33
EPN,mar-13,Reforma,50,30
EPN,mar-13,Parametria,61,26
EPN,feb-13,Buendia y Laredo,56,29
EPN,feb-13,Consulta,53,35
EPN,ene-13,Parametria,55,21
EPN,ene-13,BGC Telefonica,50,16
EPN,dic-12,Consulta,54,35
EZPL,nov-00,Reforma,69,21
EZPL,nov-00,Presidencia,66,29
EZPL,sep-00,Reforma,69,22
EZPL,jun-00,Presidencia,59,37
EZPL,jun-00,Presidencia,54,41
EZPL,jun-00,Reforma,67,25
EZPL,may-00,Presidencia,59,38
EZPL,mar-00,Reforma,69,25
EZPL,feb-00,Presidencia,21,40
EZPL,dic-99,Presidencia,71,23
EZPL,dic-99,Reforma,67,26
EZPL,nov-99,Presidencia,53,35
EZPL,oct-99,Presidencia,73,22
EZPL,sep-99,Presidencia,54,41
EZPL,sep-99,Reforma,66,27
EZPL,jul-99,Presidencia,70,24
EZPL,jun-99,Reforma,61,31
EZPL,mar-99,Reforma,65,26
EZPL,ene-99,Presidencia,51,40
EZPL,dic-98,Reforma,61,28
EZPL,sep-98,Reforma,51,38
EZPL,jul-98,Presidencia,64,30
EZPL,jun-98,Reforma,54,34
EZPL,mar-98,Reforma,59,32
EZPL,dic-97,Reforma,60,32
EZPL,sep-97,Presidencia,56,42
EZPL,sep-97,Reforma,59,32
EZPL,jul-97,Presidencia,60,36
EZPL,jun-97,Reforma,52,37
EZPL,may-97,Presidencia,48,41
EZPL,abr-97,Presidencia,58,37
EZPL,mar-97,Reforma,54,39
EZPL,dic-96,Reforma,45,42
EZPL,nov-96,Presidencia,56,39
EZPL,oct-96,Presidencia,52,45
EZPL,sep-96,Presidencia,46,44
EZPL,sep-96,Presidencia,46,49
EZPL,sep-96,Reforma,46,46
EZPL,jul-96,Presidencia,43,49
EZPL,jun-96,Reforma,35,57
EZPL,may-96,Presidencia,34,63
EZPL,mar-96,Presidencia,28,67
EZPL,mar-96,Reforma,41,48
