Content,Date,User
Que no era un estado laico y así?,25 ago.,@Brigitte_Grey
Tu no eres bueno,25 ago.,@juancarlosgt
"Eres nuestro rey, emperador,  nuestro sensei, nuestro ángel guardian y que mi padre Jehova y Jesús sigan acompañándote en este camino tan difícil en donde los ángeles del demonio siguen tratando de que caigas con ellos pero tu ya eres salvo por bendición Dios Padre en el. Nombre",26 ago.,@KAndrids
"Exacto.dios lo bendiga.ud.ya es historia,dios me de vida para contárselo a mis bisnietos y estará UD.en los libros como Benito Juárez.",25 ago.,@jceciliatorres
¿Estás de acuerdo con la transformación?,26 ago.,@vampipe
"""Tengan para que aprendan"" 💖",25 ago.,@ara_robles
"@lopezobrador_  Pejendente  andas en camionetas blindadas y con 100 guarros porque le diste el jetta en APORTACION al Choco para sus vacaciones? O te tiemblan las chichis porque todos te odiamos, es pregunta?@mikemen2 @fafa_dr @",26 ago.,@pitifufu
"El 70%....yo diria el 90% estamos felices contigo

El otro 10% son los tipicos tranzas, vividores  PRIANISTAS",26 ago.,@forozcolg
"Eres un corruptazo y vividor. Ni siquiera pagaste impuestos del dinero en efectivo, que has recibido..",25 ago.,@LuisEVera3
"Presidente @lopezobrador_ : le expreso de manera respetuosa mi molestia que, además, lamento, porque usted no se apega como presidente (servidor público) al Estado constitucional y democrático de derecho, por el contrario, lo violenta de manera flagrante y sin responsabilidad.",26 ago.,@spedroza_12
"A cuántos pobres has ayudado?

Esa estadística no la encontré en sus videos ni en sus numerosas pndejadas que presentan de gastos.

Sigo viendo gente pobre MORIR y tú exigiendo a ellos que compren tu boleto de avión, sino NO HABRÁ APOYOS.

Todo un priísta corrupto.",26 ago.,@edukaito15
¿No es MUY conservador citar al Papa?,25 ago.,@ChumelTorres
Puto mediocre!,25 ago.,@JhonBislon
"Como puedes hablar de humanismo cuando tu esposa @BeatrizMueller le desea en público la muerte a los niños con Cáncer!  Eso no es humanismo. Eso es hipocresía, maldad y enfermedad por el control y poder.",26 ago.,@MonomitoMex
"Por eso subieron la liconsa en un 150%? Por eso dejaron fuera de liconsa a mas de 470000 personas que por cierto son de la gente más desprotegida, la historia lo juzgara, en vía de mientras nos votamos en el 2021 MÉXICO TIENE MEMORIA.",26 ago.,@CarlosF6273
Jajaja. Aquí no fue bien recibido. Los pocos que pagó  para apoyarlo no pudieron opacar los gritos del pueblo. Fuera AMLO!,26 ago.,@MaricarmenSC
"Ya déjese de tonterías, palabritas y frases ridículas y póngase a trabajar",26 ago.,@fherh2
"#yonosoyel70porciento
Mitomanía -Es un problema al que se le debe prestar atención. Es un trastorno psicológico que consiste en una conducta repetitiva del acto de mentir. Por medio de sus mentiras, el mitómano busca beneficios inmediatos.",26 ago.,@lhestudios
"Ya la traicionaste, corrupto, admitiste cínicamente haber cometido un delito electoral grave.",26 ago.,@MariettoPonce
Ese es mi Presi!  #AMLOEstamosContigo,26 ago.,@mariafdezv
El mitómano demente y su circo llamado la mañanera,26 ago.,@joejakobparks
"Giras y giras y más giras!! Hay expresidentes que pasan por el gobierno sin pena ni gloria, tú  estás ocupando un cargo con muchas desgracias y sin ninguna gloria, que te quede muy claro, 2021 quitamos mayoria para empezar.",26 ago.,@IrmaGar48196037
𝘾𝙖𝙩𝙖́𝙨𝙩𝙧𝙤𝙛𝙚: “𝙎𝙪𝙘𝙚𝙨𝙤 𝙦𝙪𝙚 𝙥𝙧𝙤𝙙𝙪𝙘𝙚 𝙜𝙧𝙖𝙣 𝙙𝙚𝙨𝙩𝙧𝙪𝙘𝙘𝙞𝙤́𝙣 𝙤 𝙙𝙖𝙣̃𝙤” 𝐸𝑗𝑒𝑚𝑝𝑙𝑜: 𝐴𝑛𝑑𝑟𝑒́𝑠 𝑀𝑎𝑛𝑢𝑒𝑙 𝐿𝑜́𝑝𝑒𝑧 𝑂𝑏𝑟𝑎𝑑𝑜𝑟 𝑦 𝑠𝑢 𝑔𝑜𝑏𝑖𝑒𝑟𝑛𝑜.,26 ago.,@aracelibs
"Los niños con cáncer siguen sin medicamento.

#YaTrabajaHuevón",26 ago.,@HELDATELLEZ
(Buen día Buena noche o buena tarde) precidente quería comunicarle a usted un abuso de autoridad en Guadalajara se lo comunico a usted ya que el gobernador no creo que haga algo esto sucedió hoy martes 25 de agosto a las 10:00 en Guadalajara,26 ago.,@FIREFIG86834179
Cómo engaña a la gente el idiota este,25 ago.,@MRAngelmoreno80
PUES NO TE CREO NADA PORQUE NO RESPETAS NI CUMPLES SER UN PRESIDENTE LAICO....NO TODOS CONOCEN AL PAPA FRANCISCO Y GOBIERNAS PARA TODOS...ENTONCES CON ÉSTE VIDEO NO LES LLEGAS A TODOS 1MBECIL..,25 ago.,@germancuriel5
